cluster,block_height,output_index,derived_p2pkh_address,amount_btc,script_type,source
D,12002,0,1Ar5N19LrPNAB9Jnow72hirJ2k2hm28zKP,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12003,0,1CqA7tnb3WQ81Z4pqUd9CQ4eauSmokGjnQ,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12004,0,18imyyH8VzxdSAqvMLVpHH1RrKtCV6PJjN,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12006,0,1FCszMM1dvrtXKcncwZcxZLr5yyaqgh3f,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12007,0,1C2TBVZufZj3EsKW5R7yGYtGfPKCrSupY,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12009,0,14V1VsiyM3a2zYLeHzZ8oFboz7gW8n9QF2,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12011,0,1P9Ycq5PMnUmQVVCAo71RCWa6teM2ZrAxq,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12012,0,1KoaLuZr2Z5FnmasmwheP3iMGFhiKs4GPU,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12013,0,15ExeKFLBP2XUSiE8fxzUR58pFpT1ux5BH,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12014,0,19ykGWT8DmbkhaXdRLnJjandKDUfJpiecz,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12015,0,1Kq2YSQHagafmW47ngi7BTzd9cgYs2DNir,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12017,0,1H86VTLJzZULAxFvfZwBVQB5zGHrag4bCw,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12018,0,1HNKpsDgYt1ztXKEtYayPhxiRkoQnixz2W,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12019,0,1FcHmzniafgJsJvB9JTtZ71nr9SUQswa2L,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12020,0,1HLwsyWZKCMhG4GngCcpsYA5LUBkBappmB,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12021,0,13y2hoZJBs7ktB3hQenUz9eG7KyAZhRQ5a,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12022,0,18RC1UTdNk9bih6CkYqjdh63EMHoErkHLo,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12023,0,1EiJmFR8bQbwjL5q7n44vLMa8zijayeovj,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
